H200	Instabil, explosiv.
P370+P380+P375+P378-1	Bei Brand: Umgebung räumen. Wegen Explosionsgefahr Brand aus der Entfernung bekämpfen. {1} zum Löschen verwenden.
P371+P380+P375	Bei Großbrand und großen Mengen: Umgebung räumen. Wegen Explosionsgefahr Brand aus der Entfernung bekämpfen.
P401	Aufbewahren gemäß … .
P401.0	Aufbewahren gemäß … .
P401-1	Aufbewahren gemäß {1}.
P402	An einem trockenen Ort aufbewahren.
P403	An einem gut belüfteten Ort aufbewahren.
P404	In einem geschlossenen Behälter aufbewahren.
P405	Unter Verschluss aufbewahren.
P406	In korrosionsbeständigem/… Behälter mit korrosionsbeständiger Innenauskleidung aufbewahren.
P406.0	In korrosionsbeständigem/… Behälter mit korrosionsbeständiger Innenauskleidung aufbewahren.
P406.1	In korrosionsbeständigem Behälter mit korrosionsbeständiger Innenauskleidung aufbewahren.
P406-1	In {1}Behälter mit korrosionsbeständiger Innenauskleidung aufbewahren.
P407	Luftspalt zwischen Stapeln oder Paletten lassen.
P410	Vor Sonnenbestrahlung schützen.
P411	Bei Temperaturen nicht über … °C/… °F aufbewahren.
P411.0	Bei Temperaturen nicht über … °C/… °F aufbewahren.
P411.1-1	Bei Temperaturen nicht über {1} °C aufbewahren.
P411.2-1	Bei Temperaturen nicht über {2} °F aufbewahren.
P412	Nicht Temperaturen über 50 °C/122 °F aussetzen.
P412.0	Nicht Temperaturen über 50 °C/122 °F aussetzen.
P412.1	Nicht Temperaturen über 50 °C aussetzen.
P412.2	Nicht Temperaturen über 122 °F aussetzen.
P413	Schüttgut in Mengen von mehr als … kg/… lbs bei Temperaturen nicht über … °C/… °F aufbewahren.
P413.0	Schüttgut in Mengen von mehr als … kg/… lbs bei Temperaturen nicht über … °C/… °F aufbewahren.
P413.1-2	Schüttgut in Mengen von mehr als {1} kg bei Temperaturen nicht über {2} °C aufbewahren.
P413.2-2	Schüttgut in Mengen von mehr als {1} lbs bei Temperaturen nicht über {2} °F aufbewahren.
P420	Getrennt aufbewahren.
P402+P404	An einem trockenen Ort aufbewahren. In einem geschlossenen Behälter aufbewahren.
P403+P233	An einem gut belüfteten Ort aufbewahren. Behälter dicht verschlossen halten.
P403+P235	An einem gut belüfteten Ort aufbewahren. Kühl halten.
P410+P403	Vor Sonnenbestrahlung schützen. An einem gut belüfteten Ort aufbewahren.
P410+P412	Vor Sonnenbestrahlung schützen und nicht Temperaturen über 50 °C/122 °F aussetzen.
P410+P412.0	Vor Sonnenbestrahlung schützen und nicht Temperaturen über 50 °C/122 °F aussetzen.
P410+P412.1	Vor Sonnenbestrahlung schützen und nicht Temperaturen über 50 °C aussetzen.
P410+P412.2	Vor Sonnenbestrahlung schützen und nicht Temperaturen über 122 °F aussetzen.
P501	Inhalt/Behälter … zuführen.
P501.0	Inhalt/Behälter … zuführen.
P501.0-1	Inhalt/Behälter {1} zuführen.
P501.1-1	Inhalt {1} zuführen.
P501.2-1	Behälter {1} zuführen.
P502	Informationen zur Wiederverwendung oder Wiederverwertung beim Hersteller oder Lieferanten erfragen
